epoch,batch_loss_mean,train_loss,train_accuracy,val_loss,val_accuracy
1,1.809779676231178,1.573915958404541,0.4274074074074074,1.6033024787902832,0.4128395061728395
2,1.5361180788761861,1.4396685361862183,0.4802645502645503,1.4750268459320068,0.4651851851851852
3,1.402144361186672,1.365761637687683,0.5084656084656085,1.4152250289916992,0.48962962962962964
4,1.3334802324707444,1.2791013717651367,0.5577248677248677,1.3352917432785034,0.5402469135802469
5,1.2866375929600484,1.2708930969238281,0.5473544973544974,1.3362442255020142,0.5246913580246914
6,1.255481326902235,1.240588665008545,0.5656613756613756,1.3093875646591187,0.5412345679012346
7,1.2176082939714998,1.1970075368881226,0.5750793650793651,1.2742228507995605,0.5496296296296296
8,1.1887959854022876,1.1606634855270386,0.595925925925926,1.2376947402954102,0.5646913580246914
9,1.1625708953754321,1.1417583227157593,0.6036507936507937,1.22297203540802,0.5730864197530864
10,1.1405727444468319,1.127178430557251,0.6053968253968254,1.215514063835144,0.5750617283950618
11,1.1284013632181529,1.122757911682129,0.6024867724867725,1.219103455543518,0.5622222222222222
12,1.112701280696972,1.098708987236023,0.6152910052910053,1.194545030593872,0.5790123456790124
13,1.0902501312462058,1.0973470211029053,0.6104761904761905,1.1957590579986572,0.5785185185185185
14,1.0753168898659784,1.048146367073059,0.6431746031746032,1.1529842615127563,0.6079012345679012
15,1.0619556259464573,1.0490984916687012,0.634021164021164,1.1600072383880615,0.5918518518518519
16,1.0441348262735315,1.0520364046096802,0.6293650793650793,1.164360523223877,0.5886419753086419
17,1.035089452524443,1.0579335689544678,0.6285185185185185,1.1677148342132568,0.5896296296296296
18,1.0238763979963355,1.0418490171432495,0.6197354497354497,1.1681307554244995,0.577037037037037
19,1.0118184927347544,0.9920915961265564,0.6591534391534392,1.1146515607833862,0.6133333333333333
20,1.0075274029293575,1.0043835639953613,0.644021164021164,1.1338410377502441,0.5975308641975309
