true/pred,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
AnnualCrop,235,1,37,30,14,9,46,42,28,8
Forest,0,318,7,0,0,45,0,1,0,79
HerbaceousVegetation,33,4,237,19,9,12,43,74,16,3
Highway,48,0,32,113,16,28,15,55,64,4
Industrial,5,0,5,9,316,0,1,31,8,0
Pasture,5,15,19,2,0,231,4,5,16,3
PermanentCrop,75,0,67,15,3,13,160,30,12,0
Residential,14,2,38,39,20,2,19,294,21,1
River,24,9,8,38,12,16,6,16,237,9
SeaLake,2,28,2,1,2,20,3,14,17,361
